Sentences,Figure_OF_Speech
"The gray of the sea, and the gray of the sky, / A glimpse of the moon like a half-closed eye.",Hyperbola
"Yes, the doors are locked and the ashes are white as the frost.",Hyperbola
A mist about your beauty clings like a thin cloud before a star.,Hyperbola
She went like snow in the springtime on a sunny hill.,Hyperbola
"Then I knew those tiny voices, clear as drops of dew.",Hyperbola
I dream of silent verses where the rhyme glides noiseless as an oar.,Hyperbola
"Though they knew it not, their baby’s cries were lovely as jeweled butterflies.",Hyperbola
He kissed her as though he were trying to win a sword fight.,Hyperbola
The paparazzi circled like vultures above a tottering camel.,Hyperbola
"She was as distant as a remote tropical island, uncivilized, unspoiled.",Hyperbola
"Our hearts, though stout and brave, still, like muffled drums, are beating funeral marches to the grave.",Hyperbola
"He had hidden his wealth, heaped and hoarded and piled on high like sacks of wheat in a granary.",Hyperbola
Pieces of silver and of gold / Into the tinkling strong-box fell / Like pebbles dropped into a well;,Hyperbola
The cabin windows have grown blank as eyeballs of the dead.,Hyperbola
What passing-bells for these who die as cattle?,Hyperbola
"Each face was like the setting sun, / As, broad and red.",Hyperbola
"Barefooted, ragged, with neglected hair, she was a thin slip of a girl, like a new moon.",Hyperbola
"A fatal letter wings its way across the sea, like a bird of prey.",Hyperbola
"I will sing a slumberous refrain, and you shall murmur like a child appeased.",Hyperbola
"For she knows me! My heart, clear as a crystal beam / To her alone, ceases to be inscrutable.",Hyperbola
"Leaf-strewing gales utter low wails like violins,",Hyperbola
He spit out his teeth like stones.,Hyperbola
Talk of your cold: through the parka’s fold it stabbed like a driven nail.,Hyperbola
Dawn breaks open like a wound that bleeds afresh.,Hyperbola
"Like winged stars the fire-flies flash and glance, / Pale in the open moonshine.",Hyperbola
"The breath of her false mouth was like faint flowers, / Her touch was as electric poison.",Hyperbola
"Then, as a hunted deer that could not flee, I turned upon my thoughts and stood at bay, wounded and weak and panting;",Hyperbola
"There are thick woods where many a fountain, rivulet, and pond are as clear as elemental diamond.",Hyperbola
"Years heap their withered hours, like leaves, on our decay.",Hyperbola
"The ripples wimple on the rills, like sparkling little lasses.",Hyperbola
She was like a modest flower blown in sunny June and warm as sun at noon’s high hour.,Hyperbola
And the face of the waters that spread away / Was as gray as the face of the dead.,Hyperbola
"As in depths of many seas, my heart was drowned in memories.",Hyperbola
"Then like a cold wave on a shore, comes silence and she sings no more.",Hyperbola
"And shout thy loud battle-cry, cleaving the silence like a sword.",Hyperbola
My soul is lost and tossed like a ship unruddered in a shoreless sea.,Hyperbola
The clouds like crowds of snowy-hued and white-robed maidens pass,Hyperbola
"Dreams, like ghosts, must hide away; / ‘Tis the day.",Hyperbola
The evening stretches before me like a road.,Hyperbola
I would have hours that move like a glitter of dancers.,Hyperbola
Toby manipulated the people in his life as though they were chess pieces.,Hyperbola
"And only to think that my soul could not react, but turned on itself like a tortured snake.",Hyperbola
There are strange birds like blots against a sky.,Hyperbola
"She goes all so softly like a shadow on the hill, a faint wind at twilight.",Hyperbola
The horse-chestnuts dropped their buds like tears.,Hyperbola
"They walk in awful splendor, regal yet, wearing their crimes like rich and kingly capes.",Hyperbola
Death is like moonlight in a lofty wood that pours pale magic through the shadowy leaves.,Hyperbola
I was sick of all the sorrow and distress that flourished in the City like foul weeds.,Hyperbola
"As I read it in the white, morning sunlight, the letters squirmed like snakes.",Hyperbola
"Oh, praise me not the silent folk; / To me they only seem / Like leafless, bird-abandoned oak.",Hyperbola
The windflowers and the lilies were yellow striped as adder’s tongue.,Hyperbola
I have seen old ships sail like swans asleep.,Hyperbola
For the world’s events have rumbled on since those days like traffic.,Hyperbola
"And dance as dust before the sun, light of foot and unconfined.",Hyperbola
The fishes skim like umber shades through the undulating weeds.,Hyperbola
Gather up the undiscovered universe like jewels in a jasper cup.,Hyperbola
"Achoo!!, echoed around the room as the boy sneezed loudly.",Onomatopoeia
"Ahem, the teacher exclaimed to get the attention of the two students who were talking in class.",Onomatopoeia
Baa Baa noised the lamb to attract his mother's attention.,Onomatopoeia
Bah! I'm tired of writing these sentences!,Onomatopoeia
"Johnny was daydreaming in outfield, when bam, seemingly out of nowhere the baseball landed at his feet.",Onomatopoeia
"Bang, went the door as the gust of wind slammed it shut. ",Onomatopoeia
Bawl! exclaimed the man as he hit his thumb with the hammer.,Onomatopoeia
"Beep, Beep! the driver honked her horn to warn the inattentive driver.",Onomatopoeia
After drinking too much soda the boy let out a great belch! ,Onomatopoeia
"Boing, went the spring as the pressure on it was released.",Onomatopoeia
"Bong, bong, bong rang the bells calling people to the next church service.",Onomatopoeia
The baseball bat made a loud bonk when it connected with the ball.,Onomatopoeia
"John jumped when his younger sister leapt out from behind the door and shouted ""Boo!""",Onomatopoeia
There was a loud bump when the boy fell into the door.,Onomatopoeia
"As the computer got hotter, you could hear the buzz of its fan trying to cool the CPU down.",Onomatopoeia
From the porch they could hear the chitter chatter of the squirrels.,Onomatopoeia
"Cheep, cheep went the young bird as his mother feed him.",Onomatopoeia
The chime of the bell woke Henry from his deep sleep.,Onomatopoeia
"Chirp, chirp said the mother bird when feeding her babies.",Onomatopoeia
The chitter chatter of the monkeys made the children laugh when their class visited the Zoo.,Onomatopoeia
Young Edward laughed as he bashed his mother's cooking pots together with a loud clang.,Onomatopoeia
There was a repetitive clank as the old printing press worked through the night.,Onomatopoeia
With a loud clap of the magician's hands his assistant disappeared.,Onomatopoeia
There was a clatter as the dishes were put on the shelf.,Onomatopoeia
"Click, the key turned in the lock and the door opened.",Onomatopoeia
Clink went the guest's glasses after the wedding toast. ,Onomatopoeia
"Cluck, cluck sounded the hen as she looked pecked about for her breakfast.",Onomatopoeia
"Crack! Crack!, went the cowboy's whip at the rodeo.",Onomatopoeia
There was a crackle of burning leaves as the bonfire was lit.,Onomatopoeia
The boy crushed the soda can with a loud crunch!,Onomatopoeia
